56, 76, 30, 62, 50, 17, 512
82, 31, 67, 86, 90, 51, -1
91, 20, 75, 65, 81, 19, -1
18, 23, 74, 72, 4, 87, -1
61, 59, 68, 10, 30, 73, -1
21, 71, 26, 36, 5, 94, -1
97, 55, 7, 12, 62, 98, -1
82, 59, 22, 95, 72, 36, -1
8, 90, 11, 63, 96, 71, -1
2, 93, 22, 22, 39, 76, -1
55, 98, 93, 90, 23, 9, -1
44, 91, 11, 21, 54, 77, -1
15, 17, 96, 53, 38, 56, -1
62, 70, 94, 8, 50, 10, -1
72, 56, 78, 74, 77, 1, -1
66, 77, 97, 66, 64, 18, -1
28, 93, 15, 52, 85, 67, -1
46, 7, 35, 76, 100, 3, -1
6, 57, 93, 47, 95, 78, -1
47, 98, 64, 3, 74, 2, -1
30, 0, 26, 49, 29, 10, -1
73, 48, 62, 5, 75, 20, -1
10, 1, 59, 23, 80, 52, -1
68, 21, 13, 86, 76, 52, -1
19, 81, 10, 85, 47, 4, -1
26, 78, 64, 64, 36, 48, -1
47, 8, 91, 99, 14, 67, -1
26, 25, 1, 88, 51, 73, -1
58, 46, 30, 5, 15, 15, -1
8, 62, 8, 100, 11, 21, -1
19, 63, 35, 38, 69, 1, -1
100, 63, 50, 29, 25, 15, -1
29, 92, 2, 61, 7, 16, -1
5, 36, 10, 4, 98, 88, -1
36, 99, 22, 67, 1, 24, -1
18, 86, 56, 48, 74, 67, -1
18, 30, 27, 97, 6, 67, -1
31, 80, 78, 53, 6, 40, -1
27, 59, 33, 31, 60, 9, -1
22, 70, 76, 51, 39, 6, -1
24, 28, 51, 24, 56, 82, 80
88, 32, 71, 38, 76, 65, -1
48, 81, 92, 41, 87, 43, -1
49, 34, 52, 62, 79, 80, -1
21, 67, 28, 0, 87, 81, -1
19, 20, 11, 54, 84, 74, -1
49, 63, 71, 86, 90, 66, -1
36, 46, 41, 58, 60, 31, -1
69, 53, 90, 94, 20, 41, -1
26, 18, 76, 29, 89, 12, -1
21, 76, 51, 65, 52, 22, -1
55, 90, 85, 45, 2, 64, -1
25, 25, 33, 44, 3, 11, 50
84, 31, 79, 94, 23, 56, 301
38, 1, 9, 11, 58, 61, -1
15, 67, 45, 55, 46, 14, -1
93, 95, 75, 25, 16, 1, -1
71, 38, 100, 98, 15, 54, -1
84, 30, 10, 14, 25, 74, -1
90, 12, 30, 16, 79, 29, -1
23, 35, 63, 63, 74, 35, -1
44, 7, 83, 20, 16, 8, -1
1, 71, 90, 10, 72, 6, -1
53, 86, 66, 85, 79, 33, -1
97, 41, 92, 71, 16, 89, -1
71, 18, 83, 64, 13, 88, -1
92, 68, 48, 100, 8, 19, -1
46, 44, 16, 28, 94, 8, -1
97, 92, 78, 46, 59, 51, -1
25, 81, 57, 4, 50, 84, -1
8, 0, 74, 98, 25, 68, -1
69, 4, 23, 36, 44, 39, -1
53, 13, 18, 74, 84, 70, -1
97, 15, 61, 92, 90, 44, -1
59, 5, 51, 52, 50, 90, -1
89, 96, 29, 15, 15, 63, -1
31, 47, 27, 9, 52, 97, -1
93, 93, 42, 10, 22, 37, -1
39, 31, 14, 89, 82, 6, -1
41, 5, 18, 29, 16, 28, 61
77, 71, 6, 37, 94, 29, -1
26, 75, 3, 30, 32, 11, -1
64, 7, 40, 23, 25, 9, -1
0, 22, 49, 14, 21, 4, -1
77, 7, 67, 85, 70, 65, -1
94, 22, 72, 43, 32, 67, -1
53, 13, 8, 14, 79, 71, -1
81, 48, 12, 62, 0, 40, -1
68, 54, 16, 76, 99, 43, -1
70, 70, 82, 49, 31, 82, -1
70, 4, 22, 51, 59, 73, -1
70, 43, 51, 16, 77, 84, -1
76, 14, 7, 65, 10, 21, -1
50, 1, 32, 34, 5, 89, 64
95, 15, 47, 4, 59, 74, -1
7, 56, 15, 65, 36, 55, -1
16, 68, 57, 77, 53, 25, -1
100, 43, 85, 23, 8, 69, -1
83, 19, 75, 60, 39, 59, -1
38, 65, 68, 34, 69, 86, 103
65, 33, 14, 37, 95, 15, -1
63, 75, 97, 8, 9, 56, -1
69, 99, 34, 67, 34, 85, -1
77, 15, 14, 56, 97, 5, -1
42, 74, 26, 38, 82, 72, -1
86, 44, 12, 59, 49, 24, -1
75, 50, 88, 69, 90, 77, -1
52, 4, 65, 31, 13, 3, -1
87, 19, 93, 90, 53, 25, -1
56, 83, 8, 68, 89, 98, -1
76, 32, 97, 93, 45, 7, -1
91, 62, 61, 33, 73, 31, -1
24, 34, 56, 37, 86, 37, -1
79, 32, 65, 6, 89, 76, -1
45, 92, 15, 12, 28, 14, -1
40, 40, 62, 60, 39, 10, -1
3, 14, 43, 15, 80, 85, -1
10, 9, 67, 45, 60, 19, -1
53, 83, 8, 37, 36, 25, -1
59, 80, 61, 15, 74, 95, -1
45, 38, 92, 70, 56, 6, -1
95, 77, 98, 41, 90, 96, -1
38, 32, 5, 61, 99, 30, -1
93, 36, 94, 77, 1, 20, -1
57, 60, 24, 3, 56, 59, -1
11, 0, 88, 35, 69, 52, -1
37, 2, 77, 27, 76, 20, -1
22, 88, 72, 46, 96, 98, -1
71, 75, 62, 98, 66, 96, -1
21, 96, 34, 87, 28, 47, -1
27, 73, 69, 5, 94, 75, -1
18, 59, 85, 0, 12, 90, -1
31, 90, 81, 27, 73, 93, -1
68, 73, 96, 1, 100, 70, -1
17, 11, 50, 37, 4, 34, 61
27, 18, 52, 49, 16, 96, 81
